Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
East Asia & Pacific (ICP),EAB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,80.56514257
Ecuador,ECU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,118.3521099
"Egypt, Arab Rep.",EGY,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,26.4400655
El Salvador,SLV,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,65.92155901
Equatorial Guinea,GNQ,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,80.17052777
Eritrea,ERI,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Estonia,EST,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,106.7092864
Eswatini,SWZ,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,66.54488104
Ethiopia,ETH,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,33.08021242
Europe & Central Asia (ICP),ECB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,120.7802016
Fiji,FJI,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,63.21121402
Finland,FIN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,160.6004102
France,FRA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,147.22926
French Polynesia,PYF,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Gabon,GAB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,60.16215372
"Gambia, The",GMB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,45.9735978
Georgia,GEO,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,60.7109488
Germany,DEU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,137.9037811
Ghana,GHA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,49.71740786
Greece,GRC,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,103.7081802
Grenada,GRD,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,70.44982329
Guam,GUM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Guatemala,GTM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Guinea,GIN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,33.39005379
