Country,Country Code,Average Hotel and Restaurant Cost,Type Traveler,Iso3
Italy,ITA,131.33,Comfort traveler,ITA
Jamaica,JAM,62.09,Comfort traveler,JAM
Japan,JPN,129.06,Comfort traveler,JPN
Jordan,JOR,63.76,Comfort traveler,JOR
Kazakhstan,KAZ,67.06,Comfort traveler,KAZ
Kenya,KEN,38.81,Comfort traveler,KEN
"Korea, Rep.",KOR,145.92,Comfort traveler,KOR
"Korea, Rep.",KOR,145.92,Comfort traveler,KOR
"Korea, Rep.",KOR,145.92,Comfort traveler,KOR
"Korea, Rep.",KOR,145.92,Comfort traveler,KOR
"Korea, Rep.",KOR,145.92,Comfort traveler,KOR
"Korea, Rep.",KOR,145.92,Comfort traveler,KOR
"Korea, Rep.",KOR,145.92,Comfort traveler,KOR
Kuwait,KWT,102.9,Comfort traveler,KWT
Kyrgyzstan,KGZ,68.42,Comfort traveler,KGZ
Kyrgyzstan,KGZ,68.42,Comfort traveler,KGZ
Lao Pdr,LAO,58.18,Comfort traveler,LAO
Lao Pdr,LAO,58.18,Comfort traveler,LAO
Lao Pdr,LAO,58.18,Comfort traveler,LAO
Lao Pdr,LAO,58.18,Comfort traveler,LAO
Lao Pdr,LAO,58.18,Comfort traveler,LAO
Latvia,LVA,102.56,Comfort traveler,LVA
Lesotho,LSO,59.4,Comfort traveler,LSO
Liberia,LBR,55.09,Comfort traveler,LBR
Lithuania,LTU,86.66,Comfort traveler,LTU
Luxembourg,LUX,141.12,Comfort traveler,LUX
Madagascar,MDG,33.01,Comfort traveler,MDG
Malawi,MWI,49.24,Comfort traveler,MWI
Malaysia,MYS,39.3,Comfort traveler,MYS
Maldives,MDV,50.58,Comfort traveler,MDV
Mali,MLI,67.27,Comfort traveler,MLI
Malta,MLT,101.62,Comfort traveler,MLT
Mauritania,MRT,38.51,Comfort traveler,MRT
Mauritius,MUS,86.66,Comfort traveler,MUS
Mexico,MEX,63.31,Comfort traveler,MEX
Moldova,MDA,64.37,Comfort traveler,MDA
Moldova,MDA,64.37,Comfort traveler,MDA
Moldova,MDA,64.37,Comfort traveler,MDA
Moldova,MDA,64.37,Comfort traveler,MDA
Mongolia,MNG,46.16,Comfort traveler,MNG
Montenegro,MNE,73.7,Comfort traveler,MNE
Morocco,MAR,57.5,Comfort traveler,MAR
Mozambique,MOZ,43.2,Comfort traveler,MOZ
Myanmar,MMR,36.81,Comfort traveler,MMR
Myanmar,MMR,36.81,Comfort traveler,MMR
Namibia,NAM,67.54,Comfort traveler,NAM
Nepal,NPL,29.76,Comfort traveler,NPL
Netherlands,NLD,141.25,Comfort traveler,NLD
Netherlands,NLD,141.25,Comfort traveler,NLD
New Zealand,NZL,140.97,Comfort traveler,NZL
New Zealand,NZL,140.97,Comfort traveler,NZL
Nicaragua,NIC,56.13,Comfort traveler,NIC
Niger,NER,49.29,Comfort traveler,NER
Nigeria,NGA,39.0,Comfort traveler,NGA
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
North Macedonia,MKD,53.86,Comfort traveler,MKD
Norway,NOR,206.57,Comfort traveler,NOR
Oman,OMN,58.29,Comfort traveler,OMN
Pakistan,PAK,41.76,Comfort traveler,PAK
Panama,PAN,80.55,Comfort traveler,PAN
Paraguay,PRY,60.5,Comfort traveler,PRY
Peru,PER,72.12,Comfort traveler,PER
Philippines,PHL,48.52,Comfort traveler,PHL
Poland,POL,92.4,Comfort traveler,POL
Portugal,PRT,96.82,Comfort traveler,PRT
Qatar,QAT,94.27,Comfort traveler,QAT
Romania,ROU,66.04,Comfort traveler,ROU
Russian Federation,RUS,80.01,Comfort traveler,RUS
Russian Federation,RUS,80.01,Comfort traveler,RUS
Rwanda,RWA,53.87,Luxury Traveler,RWA
São Tomé And Principe,STP,57.25,Luxury Traveler,STP
Saudi Arabia,SAU,60.33,Luxury Traveler,SAU
Senegal,SEN,70.55,Luxury Traveler,SEN
Serbia,SRB,63.25,Luxury Traveler,SRB
Serbia,SRB,63.25,Luxury Traveler,SRB
Seychelles,SYC,160.02,Luxury Traveler,SYC
Sierra Leone,SLE,36.56,Luxury Traveler,SLE
Singapore,SGP,70.37,Luxury Traveler,SGP
Sint Maarten,SXM,128.48,Luxury Traveler,SXM
Slovakia,SVK,94.58,Luxury Traveler,SVK
Slovakia,SVK,94.58,Luxury Traveler,SVK
Slovenia,SVN,102.99,Luxury Traveler,SVN
South Africa,ZAF,62.93,Luxury Traveler,ZAF
Spain,ESP,107.28,Luxury Traveler,ESP
Sri Lanka,LKA,49.53,Luxury Traveler,LKA
St. Kitts And Nevis,KNA,136.67,Luxury Traveler,KNA
St. Kitts And Nevis,KNA,136.67,Luxury Traveler,KNA
St. Lucia,LCA,113.97,Luxury Traveler,LCA
St. Lucia,LCA,113.97,Luxury Traveler,LCA
St. Vincent And The Grenadines,VCT,131.16,Luxury Traveler,VCT
St. Vincent And The Grenadines,VCT,131.16,Luxury Traveler,VCT
Sudan,SDN,28.8,Luxury Traveler,SDN
Sudan,SDN,28.8,Luxury Traveler,SDN
Suriname,SUR,57.35,Luxury Traveler,SUR
Suriname,SUR,57.35,Luxury Traveler,SUR
Sweden,SWE,182.92,Luxury Traveler,SWE
Switzerland,CHE,203.18,Luxury Traveler,CHE
"Taiwan, China",TWN,56.02,Luxury Traveler,TWN
"Taiwan, China",TWN,56.02,Luxury Traveler,TWN
"Taiwan, China",TWN,56.02,Luxury Traveler,TWN
"Taiwan, China",TWN,56.02,Luxury Traveler,TWN
"Taiwan, China",TWN,56.02,Luxury Traveler,TWN
"Taiwan, China",TWN,56.02,Luxury Traveler,TWN
"Taiwan, China",TWN,56.02,Luxury Traveler,TWN
Tajikistan,TJK,64.45,Luxury Traveler,TJK
Tanzania,TZA,30.13,Luxury Traveler,TZA
Tanzania,TZA,30.13,Luxury Traveler,TZA
Tanzania,TZA,30.13,Luxury Traveler,TZA
Tanzania,TZA,30.13,Luxury Traveler,TZA
Tanzania,TZA,30.13,Luxury Traveler,TZA
Thailand,THA,40.4,Luxury Traveler,THA
Togo,TGO,69.42,Luxury Traveler,TGO
Trinidad And Tobago,TTO,120.76,Luxury Traveler,TTO
Trinidad And Tobago,TTO,120.76,Luxury Traveler,TTO
Tunisia,TUN,37.86,Luxury Traveler,TUN
Turkey,TUR,78.22,Luxury Traveler,TUR
Turkey,TUR,78.22,Luxury Traveler,TUR
Turks And Caicos Islands,TCA,162.15,Luxury Traveler,TCA
Uganda,UGA,59.97,Luxury Traveler,UGA
Ukraine,UKR,32.17,Luxury Traveler,UKR
United Arab Emirates,ARE,93.47,Luxury Traveler,ARE
United Kingdom,GBR,131.75,Luxury Traveler,GBR
United Kingdom,GBR,131.75,Luxury Traveler,GBR
United Kingdom,GBR,131.75,Luxury Traveler,GBR
United Kingdom,GBR,131.75,Luxury Traveler,GBR
United States,USA,127.71,Luxury Traveler,USA
United States,USA,127.71,Luxury Traveler,USA
United States,USA,127.71,Luxury Traveler,USA
United States,USA,127.71,Luxury Traveler,USA
Uruguay,URY,114.64,Luxury Traveler,URY
Vietnam,VNM,35.01,Luxury Traveler,VNM
Vietnam,VNM,35.01,Luxury Traveler,VNM
Zambia,ZMB,47.62,Luxury Traveler,ZMB
Zimbabwe,ZWE,73.27,Luxury Traveler,ZWE
