,Country,Currency,Currency Code,Iso3
172,New Caledonia,Cfp Franc,XPF,NCL
173,New Zealand,New Zealand Dollar,NZD,NZL
174,Nicaragua,Cordoba Oro,NIO,NIC
175,Niger,Cfa Franc Bceao,XOF,NER
176,Nigeria,Naira,NGN,NGA
179,Northern Mariana Islands,Us Dollar,USD,MNP
180,Norway,Norwegian Krone,NOK,NOR
181,Oman,Rial Omani,OMR,OMN
182,Pakistan,Pakistan Rupee,PKR,PAK
183,Palau,Us Dollar,USD,PLW
185,Panama,Balboa,PAB,PAN
186,Panama,Us Dollar,USD,PAN
187,Papua New Guinea,Kina,PGK,PNG
188,Paraguay,Guarani,PYG,PRY
189,Peru,Sol,PEN,PER
190,Philippines,Philippine Peso,PHP,PHL
192,Poland,Zloty,PLN,POL
193,Portugal,Euro,EUR,PRT
194,Puerto Rico,Us Dollar,USD,PRI
195,Qatar,Qatari Rial,QAR,QAT
197,Romania,Romanian Leu,RON,ROU
198,Russian Federation,Russian Ruble,RUB,RUS
199,Rwanda,Rwanda Franc,RWF,RWA
202,Saint Kitts And Nevis,East Caribbean Dollar,XCD,KNA
203,Saint Lucia,East Caribbean Dollar,XCD,LCA
206,Saint Vincent And The Grenadines,East Caribbean Dollar,XCD,VCT
207,Samoa,Tala,WST,WSM
208,San Marino,Euro,EUR,SMR
209,Sao Tome And Principe,Dobra,STN,STP
210,Saudi Arabia,Saudi Riyal,SAR,SAU
211,Senegal,Cfa Franc Bceao,XOF,SEN
212,Serbia,Serbian Dinar,RSD,SRB
213,Seychelles,Seychelles Rupee,SCR,SYC
214,Sierra Leone,Leone,SLL,SLE
215,Singapore,Singapore Dollar,SGD,SGP
218,Slovakia,Euro,EUR,SVK
219,Slovenia,Euro,EUR,SVN
220,Solomon Islands,Solomon Islands Dollar,SBD,SLB
221,Somalia,Somali Shilling,SOS,SOM
222,South Africa,Rand,ZAR,ZAF
224,South Sudan,South Sudanese Pound,SSP,SSD
225,Spain,Euro,EUR,ESP
226,Sri Lanka,Sri Lanka Rupee,LKR,LKA
227,Sudan,Sudanese Pound,SDG,SDN
228,Suriname,Surinam Dollar,SRD,SUR
230,Sweden,Swedish Krona,SEK,SWE
231,Switzerland,Swiss Franc,CHF,CHE
232,Switzerland,Wir Euro,CHE,CHE
233,Switzerland,Wir Franc,CHW,CHE
234,Syrian Arab Republic,Syrian Pound,SYP,SYR
235,Taiwan,New Taiwan Dollar,TWD,TWN
236,Tajikistan,Somoni,TJS,TJK
238,Thailand,Baht,THB,THA
239,Timor-Leste,Us Dollar,USD,TMP
240,Togo,Cfa Franc Bceao,XOF,TGO
242,Tonga,Pa'Anga,TOP,TON
243,Trinidad And Tobago,Trinidad And Tobago Dollar,TTD,TTO
244,Tunisia,Tunisian Dinar,TND,TUN
245,Turkey,Turkish Lira,TRY,TUR
246,Turkmenistan,Turkmenistan New Manat,TMT,TKM
247,Turks And Caicos Islands,Us Dollar,USD,TCA
248,Tuvalu,Australian Dollar,AUD,TUV
249,Uganda,Uganda Shilling,UGX,UGA
250,Ukraine,Hryvnia,UAH,UKR
251,United Arab Emirates,Uae Dirham,AED,ARE
252,United Kingdom Of Great Britain And Northern Ireland,Pound Sterling,GBP,GBR
254,United States Of America,Us Dollar,USD,USA
255,United States Of America,Us Dollar,USD,USA
256,United States Of America,Us Dollar (Next Day),USN,USA
257,United States Of America,Us Dollar (Next Day),USN,USA
258,Uruguay,Peso Uruguayo,UYU,URY
259,Uruguay,Uruguay Peso En Unidades Indexadas (Ui),UYI,URY
260,Uruguay,Unidad Previsional,UYW,URY
261,Uzbekistan,Uzbekistan Sum,UZS,UZB
262,Vanuatu,Vatu,VUV,VUT
263,Venezuela,Bolívar Soberano,VES,VEN
264,Viet Nam,Dong,VND,VNM
269,Yemen,Yemeni Rial,YER,YEM
270,Zambia,Zambian Kwacha,ZMW,ZMB
271,Zimbabwe,Zimbabwe Dollar,ZWL,ZWE
