,Country,Number,Official Language
222,Sudan,1,Arabic
223,Suriname,1,Dutch
224,Swaziland,1,English
225,Swaziland,2,Siswati
226,Sweden,1,Swedish
227,Switzerland,1,German
228,Switzerland,2,French
229,Switzerland,3,Italian
230,Syria,1,Arabic
231,Sã£O Tomã© E Princã­Pe,1,Portuguese
232,Taiwan,1,Chinese
233,Tajikistan,1,Tajik
234,Tanzania,1,Swahili
235,Tanzania,2,English
236,Thailand,1,Thai (Siamese)
237,Togo,1,French
238,Tonga,1,Tongan (An Austronesian Language)
239,Trinidad And Tobago,1,English
240,Tunisia,1,Arabic
241,Turkey,1,Turkish
242,Turkmenistan,1,Turkmen
243,Tuvalu,1,Tuvaluan
244,Uganda,1,English
245,Ukraine,1,Ukrainian
246,United Arab Emirates,1,Arabic
247,United Kingdom,1,English
248,United States,1,English
249,Uruguay,1,Spanish
250,Uzbekistan,1,Uzbek
251,Vanuatu,1,Bislama
252,Vatican City (Holy See),1,Italian
253,Venezuela,1,Spanish
254,Vietnam,1,Vietnamese
255,Western Sahara (Proposed State),1,Hassaniya Arabic
256,Yemen,1,Arabic
257,Zambia,1,English
258,Zimbabwe,1,English
